Area,Location,Asset Type,Defect / Repair Description,Photo Reference
External (Office and Carpark),External,"Building External, Fencing",,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=15df83e2-ffad-41e2-be6a-ab555750349b&type=photo&expires=1774933764&signature=jffLnNwW%2BsQHpLNXqirmlT9zKSnrcp5t%2Fh%2BhEOoNXD0%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=d7c77ce8-0b0c-448d-9a1f-247fae97a2ce&type=photo&expires=1774933764&signature=dlEb%2FfWVU%2BxBye3px%2B1mc5rxeOGdUso06wAxjG97wmY%3D"
External (Office and Carpark),External,"Building External, Shade Sails",Minor surface corrosion of flooring and seating structural elements in smoking structure. Treat corrosion within 12 months.,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=6607f31c-ce88-4353-91cb-7febf9b3a7d0&type=photo&expires=1774933764&signature=b94iXlVd9Y90mtoBoTRhSW7fcY7yMv%2B%2F3jRUX%2Fu%2FBb0%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=72222f63-d17e-4e27-9a3c-a1b984fbb5a5&type=photo&expires=1774933764&signature=XlzoCrqW3b5WlSLJKfXQw93B0OjWYfhzKZrKr%2FEylmU%3D"
External (Office and Carpark),External,"Building External, Softfall",Cracked and uneven pavers near rear toilets presents a trip hazard. Rectify within 12 months.,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=02db7632-5744-4e20-b5cf-67beb6d211cc&type=photo&expires=1774933764&signature=sn8x34LDDVN7fhF9ovtYYp6p7iTfmg88k0oH3XawUFw%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=f00d9d3c-1af8-404d-9202-097ef6880870&type=photo&expires=1774933764&signature=EdFeRSn0myo0sUFqbgGo3Al%2BBBmKKG6hdA6k4ZUlPz0%3D"
External (Yard),External,"Building External, Fencing","2 bollards have come loose, retighten within 6 months. Remove deteriorated grout around base.","https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=b4f6bea5-ae0a-47c4-bac4-9eda364ca5aa&type=photo&expires=1774933764&signature=WEolLSYWHnrTFLg8JIMrzAzz3pKYJhpQd0%2B6ZiA1T40%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=3d7cbc29-591a-4ce9-ada5-22a32413902a&type=photo&expires=1774933764&signature=QyU3wx4dNA1fDRJpeMJj9MxGoD7CFXUy4sGg1ZKgI0Q%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=93c0124f-b20a-47a1-bd31-ee1fda44f0de&type=photo&expires=1774933764&signature=lk7ws%2BqLKPM5Q%2Bax2CmOwHKwsfjgFEmJf8MfOyOg9iM%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=fabe51c2-1c54-4c51-a814-9cbbd98c9655&type=photo&expires=1774933764&signature=eUHOH%2F%2BFr0GjP5IYuTqXJF0JvM04Y8qdV8u8ev5QeL4%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=834cb4c1-ede6-479e-8392-f9cc6db26815&type=photo&expires=1774933764&signature=tb7gF7rituzrRWPD44kqtwDUk3%2F8%2FBD3PgdyiTnxHw0%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=accb92d4-e0e3-407e-9595-24204d4e5b0c&type=photo&expires=1774933764&signature=zL3CX8QBLbRSeVz8LF5Z%2BeQ9VarqZgViu7xMaCmzGeA%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=7f87b53e-c34f-462b-9c32-63f884e7699a&type=photo&expires=1774933764&signature=cxVlzK%2BIM3j4Rieb2LHpv7rFCB3jEDdWalNzmRp77DM%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=359e6ded-2fbe-4772-ad01-4d6ad5729b15&type=photo&expires=1774933764&signature=A1D2X1knhq%2FSrx7JFeDbojB1CzGn%2Bn6nIsSLuNzDMNs%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=dc7043af-bf10-47e4-8cde-00220710af99&type=photo&expires=1774933764&signature=pBCwzzbhg2IBfBZlem%2FAgAdSn3zg%2F2YEdoxSDR3yFVA%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=b8ff1bcb-c06e-41a1-864e-83e343988e9b&type=photo&expires=1774933764&signature=lhMfvkig54mMrqiWs7pNVegPUJiNjqIQ%2BG691l5%2FVrE%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=4ea672cb-1d49-4c2f-af89-527a22e1d409&type=photo&expires=1774933764&signature=UPyy7zmBj9DnX4krbNqAmpUWa1rl8buT7RGmbJVr%2FSQ%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=9c84a65a-fee9-4def-9ad5-d00793d2deed&type=photo&expires=1774933764&signature=RT3U2R3tnhW4if9g7nbjbSqqDCZ2E%2Ff95zsa55F%2FrY4%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=542a2906-1271-4b95-84b6-8682690b2635&type=photo&expires=1774933764&signature=M7VbFe9fOdodI7kUR5%2F2oHCyqyGtbJIBye6i5lF%2BHBM%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=e60477b8-ce23-4dfc-9090-4913af74db40&type=photo&expires=1774933764&signature=nuo3FPynDwdy8MgAKXqDZ18HfVRnBl%2BSprbg38FXQz4%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=1efc1fbf-ba62-4b89-b7a5-4e90a06f6a4b&type=photo&expires=1774933764&signature=%2BbHseRy74sg1YmNByE8luLlAS8BQG%2FUa%2FvwMJfmvGBY%3D"
External (Yard),External,"Building External, Gutters",Concrete handstand around drain grate has deteriorated. Need to replace within 1-2 years.,https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=d5875a71-5748-4d32-8955-c8f222d72021&type=photo&expires=1774933764&signature=4sRMXlH7f6T5d%2FR08wEWZvW7%2FQu29jA5IGbbftmeSPc%3D
External (Yard),External,"Building External, Car Park",Asphalt between tracks is deteriorating. Localised repair required in 1-2 years. Due to drainage pit structure shrinking below.,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=432496a7-203e-49f9-b4b8-bbb919931d68&type=photo&expires=1774933764&signature=pgVO2Zm%2FxRbhFz3TJYbVRJBagR2%2Bd3aptlDAtLdPmWU%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=ae4be999-ea35-4c41-933c-d599dcb91e65&type=photo&expires=1774933764&signature=TCusfH9MVfd0Yg2tiIk2M3tLsx791BUpSnHSVCL52r4%3D"
Office 2 (Ground Floor),Office 2 (Ground Floor),"Electrical, Light Fittings",Replace 1 x light bulb within 6 months.,https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=3759c329-adad-4b84-ba3c-ff5ed90ba2ca&type=photo&expires=1774933764&signature=VBbmk6gHhbdtj3kdSiG0awz%2BYvCCUbBP1WYQSHkAzyA%3D
Main Area,Main Area,"Building (Internal), Internal Wall",Wear and chipping of wall paint. Repaint walls within 12 months.,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=ab4e4d20-f7b3-4f17-ad28-04df73b6abf8&type=photo&expires=1774933764&signature=ZBLSisKhx6hVlsiEU1NNjQHhXXe%2Foa9M8WyciSkZZDc%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=3666550a-de39-456e-857e-aae2b21792ee&type=photo&expires=1774933764&signature=tiiY82RsvbNaCg0B8jqUtrH0BEtZZyQk4AIxHYOakDg%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=eaa1f96c-7062-436f-83c8-877aee4c5b56&type=photo&expires=1774933764&signature=pcTTZ5ogafkMQcJ11p%2B1Kl8MVFU4E2VUUYVlV9IAJBg%3D"
Guard Room,Guard Room,"Building (Internal), Internal Wall","Significant wear and chipping of wall pant, Sand and repaint within 12 months.","https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=1885cfa6-5424-491c-9d01-e59bdc5c970e&type=photo&expires=1774933765&signature=6ZygNB5ENrgGwcgJ8HPP2B4Kf4uwV%2BkUrWrscDcpwQY%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=75aa2e57-4927-49f1-8f61-7856a78e2761&type=photo&expires=1774933765&signature=dIksggRWomPDD0zaA5UqYRDYJd05MD2MmsyPWNkCMSQ%3D"
Yard Shed,Yard Shed,"Electrical, Light Fittings",Replace 1 x light bulb within 6 months.,"https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=45d6e1c3-5a14-4b0e-8ed4-1ad31b9ccf7f&type=photo&expires=1774933765&signature=ul5wQCRZvCVzV0pQyrvVojSy0C%2FDdy5be0MWG%2FwNDxg%3D, https://web.fulcrumapp.com/api/v2/file?context=3305fd2d-3264-474e-8aad-bfb1b89b3de2&id=afacdbe3-cb82-422d-965f-c0ac3b4f7740&type=photo&expires=1774933765&signature=Z9QB%2Bun8aY%2BSiVTOfiFTphsF5i3KUG4F6vKpmlFCycQ%3D"
